{'codigo': '1', 'nome': 'Raimundo', 'idade': '40', 'sexo': 'f', 'e-mail': 'pacheco_k81@hotmail.com', 'telefone': '033901987190'}
{'codigo': '28', 'nome': 'Thales', 'idade': '36', 'sexo': 'f', 'e-mail': 'junior.cuba@hotmail.com', 'telefone': '017923394057'}
{'codigo': '30', 'nome': 'Hermano', 'idade': '23', 'sexo': 'f', 'e-mail': 'bebado.renato@yahoo.com.br', 'telefone': '035996268229'}
{'codigo': '32', 'nome': 'Murilo Nadia', 'idade': '17', 'sexo': 'f', 'e-mail': 'williansbeck@hotmail.com', 'telefone': '040951090205'}
{'codigo': '33', 'nome': 'Marcilio', 'idade': '47', 'sexo': 'f', 'e-mail': 'priscylla00@bol.com.br', 'telefone': '044941208441'}
{'codigo': '37', 'nome': 'Ernani', 'idade': '33', 'sexo': 'f', 'e-mail': 'jean_0204@yahoo.com.br', 'telefone': '046945440140'}
{'codigo': '40', 'nome': 'Nina', 'idade': '48', 'sexo': 'f', 'e-mail': 'kellen-layanne@hotmail.com', 'telefone': '054965563746'}
{'codigo': '41', 'nome': 'Talia', 'idade': '31', 'sexo': 'f', 'e-mail': 'info@24fun.com', 'telefone': '053963920267'}
{'codigo': '44', 'nome': 'Joaquim', 'idade': '30', 'sexo': 'f', 'e-mail': 'felina-sonia@hotmail.com', 'telefone': '031925708731'}
{'codigo': '46', 'nome': 'Cleopatra', 'idade': '27', 'sexo': 'f', 'e-mail': 'lukas_natan@yahoo.com.br', 'telefone': '036935366701'}
{'codigo': '47', 'nome': 'Carolina', 'idade': '24', 'sexo': 'f', 'e-mail': 'gunitcokda@gmail.com', 'telefone': '052929880750'}
{'codigo': '48', 'nome': 'Gioconda', 'idade': '47', 'sexo': 'f', 'e-mail': 'danielasousa_dany@yahoo.com.br', 'telefone': '027969275520'}
{'codigo': '49', 'nome': 'Luis', 'idade': '31', 'sexo': 'f', 'e-mail': 'primomaisnovo2008@gmail.com', 'telefone': '047952308275'}
{'codigo': '55', 'nome': 'Osias', 'idade': '43', 'sexo': 'f', 'e-mail': 'rebekalips@gmail.com', 'telefone': '055907929269'}
{'codigo': '58', 'nome': 'Erminia', 'idade': '16', 'sexo': 'f', 'e-mail': 'miqueiassilva789@hotmail.com', 'telefone': '027922572525'}
{'codigo': '61', 'nome': 'Dalia', 'idade': '37', 'sexo': 'f', 'e-mail': 'donoleandro@gmail.com', 'telefone': '026961269389'}
{'codigo': '63', 'nome': 'Elza', 'idade': '18', 'sexo': 'f', 'e-mail': 'neidosa@hotmail.com', 'telefone': '049944012638'}
{'codigo': '65', 'nome': 'Humberto', 'idade': '31', 'sexo': 'f', 'e-mail': 'shi_hd@hotmail.com', 'telefone': '054924966292'}
{'codigo': '67', 'nome': 'Ester', 'idade': '22', 'sexo': 'f', 'e-mail': 'mano.america@hotmail.com', 'telefone': '023957893198'}
{'codigo': '68', 'nome': 'Jaqueline', 'idade': '22', 'sexo': 'f', 'e-mail': 'blaynner_sk8@hotmail.com', 'telefone': '044915432048'}
{'codigo': '69', 'nome': 'Yglésio', 'idade': '25', 'sexo': 'f', 'e-mail': 'alonsomaria@bol.com.br', 'telefone': '043956007423'}
{'codigo': '70', 'nome': 'Firmino', 'idade': '18', 'sexo': 'f', 'e-mail': 'fabio-junior@bol.com.br', 'telefone': '053939682471'}
{'codigo': '72', 'nome': 'Bosco', 'idade': '28', 'sexo': 'f', 'e-mail': 'dedesinistra@hotmail.com', 'telefone': '041985217237'}
{'codigo': '73', 'nome': 'Naiara', 'idade': '38', 'sexo': 'f', 'e-mail': 'ramon_perondi@yahoo.com.br', 'telefone': '051983284230'}
{'codigo': '74', 'nome': 'Kevin', 'idade': '42', 'sexo': 'f', 'e-mail': 'duzao_rodrigues@msn.com', 'telefone': '056968765612'}
{'codigo': '76', 'nome': 'Vinicius', 'idade': '38', 'sexo': 'f', 'e-mail': 'pelancabto@hotmail.com', 'telefone': '020948192493'}
{'codigo': '77', 'nome': 'Maureen', 'idade': '49', 'sexo': 'f', 'e-mail': 'atrevidoplay22@yahoo.com.br', 'telefone': '029955340624'}
{'codigo': '81', 'nome': 'Kenneth', 'idade': '39', 'sexo': 'f', 'e-mail': 'henry_pones@hotmail.com', 'telefone': '030906156778'}
{'codigo': '82', 'nome': 'Nayara', 'idade': '43', 'sexo': 'f', 'e-mail': 'c4fezinho@yahoo.com.br', 'telefone': '047974137830'}
{'codigo': '83', 'nome': 'Sidney', 'idade': '50', 'sexo': 'f', 'e-mail': 'crazysty@gmail.com', 'telefone': '021946858748'}
{'codigo': '85', 'nome': 'Hidelbrando', 'idade': '45', 'sexo': 'f', 'e-mail': 'feukinho@hotmail.com', 'telefone': '018956648818'}
{'codigo': '87', 'nome': 'Alriana', 'idade': '45', 'sexo': 'f', 'e-mail': 'dani-baixinha@hotmail.com', 'telefone': '048976621828'}
{'codigo': '89', 'nome': 'Liliane', 'idade': '38', 'sexo': 'f', 'e-mail': 'JamylleFreittas@yahoo.com.br', 'telefone': '054915015999'}
{'codigo': '92', 'nome': 'Rosana', 'idade': '16', 'sexo': 'f', 'e-mail': 'marcelo_copa2006@hotmail.com', 'telefone': '029910393768'}
{'codigo': '93', 'nome': 'Luce', 'idade': '44', 'sexo': 'f', 'e-mail': 'isaferrera@yahoo.com.br', 'telefone': '041914300207'}
{'codigo': '96', 'nome': 'Angélica', 'idade': '18', 'sexo': 'f', 'e-mail': 'my_nick_is_sick_on_orkut@yahoo.com', 'telefone': '050984495732'}
{'codigo': '97', 'nome': 'Alencar', 'idade': '36', 'sexo': 'f', 'e-mail': 'viktor_chorao@hotmail.com', 'telefone': '048922920743'}
{'codigo': '98', 'nome': 'Vani', 'idade': '44', 'sexo': 'f', 'e-mail': 'thayna_bitencourt@yahoo.com.br', 'telefone': '035981892521'}
{'codigo': '99', 'nome': 'Almir', 'idade': '43', 'sexo': 'f', 'e-mail': 'kiporkut@hotmail.com', 'telefone': '016953186878'}
{'codigo': '101', 'nome': 'Gian', 'idade': '16', 'sexo': 'f', 'e-mail': 'ala-frei@hotmail.com', 'telefone': '029983324093'}
{'codigo': '105', 'nome': 'Valeria', 'idade': '16', 'sexo': 'f', 'e-mail': 'mary_anaribeiro@hotmail.com', 'telefone': '018948942505'}
{'codigo': '107', 'nome': 'Audrey', 'idade': '46', 'sexo': 'f', 'e-mail': 'bruno_lfp@hotmail.com', 'telefone': '033942448939'}
{'codigo': '108', 'nome': 'Eugenio', 'idade': '23', 'sexo': 'f', 'e-mail': 'chacy.ejpj@gmail.com', 'telefone': '026996536497'}
{'codigo': '110', 'nome': 'Acácio', 'idade': '16', 'sexo': 'f', 'e-mail': 'letymissio@hotmail.com', 'telefone': '024958869887'}
{'codigo': '114', 'nome': 'Brigite', 'idade': '37', 'sexo': 'f', 'e-mail': 'newton13bustamante@gmail.com', 'telefone': '012961620083'}
{'codigo': '115', 'nome': 'Diogo', 'idade': '37', 'sexo': 'f', 'e-mail': 'hiagooliveira14@yahoo.com.br', 'telefone': '033992482174'}
{'codigo': '116', 'nome': 'Betina', 'idade': '18', 'sexo': 'f', 'e-mail': 'andreiaregina_po@hotmail.com', 'telefone': '040992439932'}
{'codigo': '117', 'nome': 'Milena', 'idade': '22', 'sexo': 'f', 'e-mail': 'mayarinha_docinho@hotmail.com', 'telefone': '053949074628'}
{'codigo': '119', 'nome': 'Lenise', 'idade': '16', 'sexo': 'f', 'e-mail': 'lorenamid@hotmail.com', 'telefone': '020923247654'}
{'codigo': '123', 'nome': 'Ariane', 'idade': '22', 'sexo': 'f', 'e-mail': 'jpa_pamela@yahoo.com.br', 'telefone': '035939226460'}
{'codigo': '125', 'nome': 'Martina', 'idade': '38', 'sexo': 'f', 'e-mail': 'edu_capelloto@hotmail.com', 'telefone': '050984477578'}
{'codigo': '133', 'nome': 'Andréa', 'idade': '47', 'sexo': 'f', 'e-mail': 'igor2@teste.com', 'telefone': '048925047539'}
{'codigo': '134', 'nome': 'Maciel', 'idade': '36', 'sexo': 'f', 'e-mail': 'jari_filho@hotmail.com', 'telefone': '043995685102'}
{'codigo': '136', 'nome': 'Quincas', 'idade': '34', 'sexo': 'f', 'e-mail': 'gsk_lorrane@yahoo.com.br', 'telefone': '031910188912'}
{'codigo': '137', 'nome': 'Od�\xadlia', 'idade': '37', 'sexo': 'f', 'e-mail': 'leydeloiola@hotmail.com', 'telefone': '028967251304'}
{'codigo': '138', 'nome': 'Batista', 'idade': '41', 'sexo': 'f', 'e-mail': 'anapaulapereira_15@yahoo.com.br', 'telefone': '022909612320'}
{'codigo': '139', 'nome': 'Romero', 'idade': '21', 'sexo': 'f', 'e-mail': 'daddy1728407@gmail.com', 'telefone': '017926700109'}
{'codigo': '141', 'nome': 'Piero', 'idade': '50', 'sexo': 'f', 'e-mail': 'sk8feras.fany@hotmail.com', 'telefone': '048927646350'}
{'codigo': '144', 'nome': 'Justo Kalliope', 'idade': '46', 'sexo': 'f', 'e-mail': 'dudupanicoloko@bol.com.br', 'telefone': '046927943830'}
{'codigo': '154', 'nome': 'Lisley', 'idade': '32', 'sexo': 'f', 'e-mail': 'tiagosalve@hotmail.com', 'telefone': '020973515766'}
{'codigo': '155', 'nome': 'Thauany', 'idade': '23', 'sexo': 'f', 'e-mail': 'juninhoafc@yahoo.com.br', 'telefone': '026994890652'}
{'codigo': '162', 'nome': 'Ilário', 'idade': '43', 'sexo': 'f', 'e-mail': 'keka_angel19@hotmail.com', 'telefone': '023987129676'}
{'codigo': '163', 'nome': 'Livio', 'idade': '48', 'sexo': 'f', 'e-mail': 'rafael_naves_ferreira@yahoo.com.br', 'telefone': '050985233553'}
{'codigo': '164', 'nome': 'Harley', 'idade': '31', 'sexo': 'f', 'e-mail': 'rossiice@gmail.com', 'telefone': '018938803126'}
{'codigo': '167', 'nome': 'Janey', 'idade': '34', 'sexo': 'f', 'e-mail': 'thamaravalinhos@yahoo.com.br', 'telefone': '043974306981'}
{'codigo': '168', 'nome': 'Josualdo', 'idade': '28', 'sexo': 'f', 'e-mail': 'walcy_zem@yahoo.com.br', 'telefone': '013966686598'}
{'codigo': '169', 'nome': 'Decio', 'idade': '27', 'sexo': 'f', 'e-mail': 'karolzinha.loirinha@yahoo.com.br', 'telefone': '052915683314'}
{'codigo': '173', 'nome': 'Gislaine', 'idade': '20', 'sexo': 'f', 'e-mail': 'fredjay-z@hotmail.com', 'telefone': '054978039270'}
{'codigo': '174', 'nome': 'Alan', 'idade': '49', 'sexo': 'f', 'e-mail': 'jeffdanadao@gmail.com', 'telefone': '016992200629'}
{'codigo': '179', 'nome': 'Ala�\xadde Santos', 'idade': '26', 'sexo': 'f', 'e-mail': 'vi_quirino@hotmail.com', 'telefone': '017919838498'}
{'codigo': '182', 'nome': 'Marcos', 'idade': '36', 'sexo': 'f', 'e-mail': 'inricristotodopoderoso@bol.com.br', 'telefone': '054979711997'}
{'codigo': '186', 'nome': 'Juscelino', 'idade': '30', 'sexo': 'f', 'e-mail': 'ivan_binii@yahoo.com.br', 'telefone': '057915246762'}
{'codigo': '187', 'nome': 'Amauri', 'idade': '31', 'sexo': 'f', 'e-mail': 'misterioso.eu.sou@gmail.com', 'telefone': '032904082309'}
{'codigo': '188', 'nome': 'Sebastião', 'idade': '40', 'sexo': 'f', 'e-mail': 'nathymmendes@hotmail.com', 'telefone': '015958484635'}
{'codigo': '189', 'nome': 'Felix', 'idade': '40', 'sexo': 'f', 'e-mail': 'adrieli_baldoria@hotmail.com', 'telefone': '017985583405'}
{'codigo': '195', 'nome': 'Miguel', 'idade': '31', 'sexo': 'f', 'e-mail': 'debora_bernardi15@yahoo.com.br', 'telefone': '027928372848'}
{'codigo': '198', 'nome': 'Rosamaria', 'idade': '32', 'sexo': 'f', 'e-mail': 'meufogaoedako@hotmail.com', 'telefone': '036909092677'}
{'codigo': '199', 'nome': 'Badia', 'idade': '49', 'sexo': 'f', 'e-mail': 'thiago2212@yahoo.com.br', 'telefone': '047980491269'}
{'codigo': '200', 'nome': 'Clotilde', 'idade': '40', 'sexo': 'f', 'e-mail': 'thatianapaiva@hotmail.com', 'telefone': '031906293238'}
{'codigo': '201', 'nome': 'Alberico', 'idade': '23', 'sexo': 'f', 'e-mail': 'moderadorigor2@gmail.com', 'telefone': '025964830539'}
{'codigo': '202', 'nome': 'Natan', 'idade': '43', 'sexo': 'f', 'e-mail': 'thayronenipponic@hotmail.com', 'telefone': '030923736178'}
{'codigo': '203', 'nome': 'Sheeva', 'idade': '38', 'sexo': 'f', 'e-mail': 'nascimento.lucas@uol.com.br', 'telefone': '011944106977'}
{'codigo': '204', 'nome': 'Stefano', 'idade': '35', 'sexo': 'f', 'e-mail': 'bunequinha_gv@hotmail.com', 'telefone': '024958923259'}
{'codigo': '205', 'nome': 'Malú', 'idade': '38', 'sexo': 'f', 'e-mail': 'dono_orkut@yahoo.com.br', 'telefone': '057915160807'}
{'codigo': '208', 'nome': 'Dan', 'idade': '21', 'sexo': 'f', 'e-mail': 'guilhermeet@gmail.com', 'telefone': '020957737868'}
{'codigo': '209', 'nome': 'Bonifácio', 'idade': '31', 'sexo': 'f', 'e-mail': 'gleice_gkr@yahoo.com.br', 'telefone': '051937994743'}
{'codigo': '211', 'nome': 'Irene', 'idade': '43', 'sexo': 'f', 'e-mail': 'bruno_eminem2@hotmail.com', 'telefone': '057969091377'}
{'codigo': '212', 'nome': 'Wanderleia', 'idade': '50', 'sexo': 'f', 'e-mail': 'ellidapaula@hotmail.com', 'telefone': '029935314534'}
{'codigo': '215', 'nome': 'Alessandra Dias', 'idade': '29', 'sexo': 'f', 'e-mail': 'carlinha-apaixonada@hotmail.com', 'telefone': '034974932522'}
{'codigo': '217', 'nome': 'Américo', 'idade': '50', 'sexo': 'f', 'e-mail': 'leozoid@gmail.com', 'telefone': '032980361730'}
{'codigo': '218', 'nome': 'Hector', 'idade': '46', 'sexo': 'f', 'e-mail': 'sweetsacha@bol.com.br', 'telefone': '027943320038'}
{'codigo': '219', 'nome': 'Raul', 'idade': '29', 'sexo': 'f', 'e-mail': 'lainna_cristina@yahoo.com.br', 'telefone': '047978401050'}
{'codigo': '220', 'nome': 'Urania', 'idade': '32', 'sexo': 'f', 'e-mail': 'elianedeconquistagv@bol.com.br', 'telefone': '022980721046'}
{'codigo': '221', 'nome': 'Graça', 'idade': '47', 'sexo': 'f', 'e-mail': 'andre_pitbulldoidera@yahoo.com.br', 'telefone': '021964651133'}
{'codigo': '222', 'nome': 'Eric', 'idade': '35', 'sexo': 'f', 'e-mail': 'lukas__worldexcrement__@hotmail.com', 'telefone': '047938949988'}
{'codigo': '223', 'nome': 'Jennifer', 'idade': '23', 'sexo': 'f', 'e-mail': 'thais.lm.nv@hotmail.com', 'telefone': '017948454217'}
{'codigo': '225', 'nome': 'Edvaldo', 'idade': '44', 'sexo': 'f', 'e-mail': 'vanessamarques22@gmail.com', 'telefone': '013924948084'}
{'codigo': '228', 'nome': 'Lauro', 'idade': '16', 'sexo': 'f', 'e-mail': 'vigilantevirtual6@gmail.com', 'telefone': '039998900637'}
{'codigo': '229', 'nome': 'Plácido', 'idade': '36', 'sexo': 'f', 'e-mail': 'regismeruoca@bol.com.br', 'telefone': '054934200467'}
{'codigo': '231', 'nome': 'Poliana', 'idade': '32', 'sexo': 'f', 'e-mail': 'hullifas@gmail.com', 'telefone': '044925737385'}
{'codigo': '234', 'nome': 'Anete', 'idade': '26', 'sexo': 'f', 'e-mail': 'deiasouzagv@gmail.com', 'telefone': '052948718887'}
{'codigo': '238', 'nome': 'Lorenzo', 'idade': '38', 'sexo': 'f', 'e-mail': 'diogokaikemyspace@yahoo.com.br', 'telefone': '043940858220'}
{'codigo': '240', 'nome': 'Anibal', 'idade': '20', 'sexo': 'f', 'e-mail': 'lucylavigne20@yahoo.com.br', 'telefone': '038995973170'}
{'codigo': '242', 'nome': 'Erlaine', 'idade': '23', 'sexo': 'f', 'e-mail': 'carolrscheke@hotmail.com', 'telefone': '039982813288'}
{'codigo': '245', 'nome': 'Ruth Rafael', 'idade': '29', 'sexo': 'f', 'e-mail': 'dani_kathlyn@hotmail.com', 'telefone': '048925371627'}
{'codigo': '247', 'nome': 'Alicia', 'idade': '17', 'sexo': 'f', 'e-mail': 'elda.klb@hotmail.com', 'telefone': '013917267854'}
{'codigo': '248', 'nome': 'Dalita', 'idade': '47', 'sexo': 'f', 'e-mail': 'marolinha2@yahoo.com.br', 'telefone': '013921660176'}
{'codigo': '250', 'nome': 'Edmilson', 'idade': '36', 'sexo': 'f', 'e-mail': 'angela_jah@hotmail.com', 'telefone': '023943813972'}
{'codigo': '252', 'nome': 'Stefania', 'idade': '50', 'sexo': 'f', 'e-mail': 'bwolker@zipmail.com.br', 'telefone': '053930052385'}
{'codigo': '253', 'nome': 'Veralice', 'idade': '49', 'sexo': 'f', 'e-mail': 'billabong8@jim.fake', 'telefone': '020967810076'}
{'codigo': '255', 'nome': 'Laylla', 'idade': '48', 'sexo': 'f', 'e-mail': 'wellintoceara@yahoo.com.br', 'telefone': '051995283333'}
{'codigo': '256', 'nome': 'Thayná', 'idade': '42', 'sexo': 'f', 'e-mail': 'willianfonseca3@hotmail.com', 'telefone': '031954518493'}
{'codigo': '257', 'nome': 'Abel', 'idade': '19', 'sexo': 'f', 'e-mail': 'sandyleticia30@gmail.com', 'telefone': '058918582282'}
{'codigo': '258', 'nome': 'Vanderleia', 'idade': '26', 'sexo': 'f', 'e-mail': 'gabriela.braz25@gmail.com', 'telefone': '021995315536'}
{'codigo': '259', 'nome': 'Nivia', 'idade': '28', 'sexo': 'f', 'e-mail': 'shiroma.mack@gmail.com', 'telefone': '050998970528'}
{'codigo': '260', 'nome': 'Diana', 'idade': '49', 'sexo': 'f', 'e-mail': 'pnmc@hotmail.com', 'telefone': '046994025283'}
{'codigo': '261', 'nome': 'Joana', 'idade': '40', 'sexo': 'f', 'e-mail': 'thiagobelogt@gmail.com', 'telefone': '046928292838'}
{'codigo': '263', 'nome': 'Cornelio', 'idade': '18', 'sexo': 'f', 'e-mail': 'lazynha_2@hotmail.com', 'telefone': '035930144986'}
{'codigo': '264', 'nome': 'Julio', 'idade': '21', 'sexo': 'f', 'e-mail': 'scoobygarrido@hotmail.com', 'telefone': '023944103170'}
{'codigo': '265', 'nome': 'Constantino', 'idade': '39', 'sexo': 'f', 'e-mail': 'thays_princess@oi.com.br', 'telefone': '051999539307'}
{'codigo': '266', 'nome': 'Sueli', 'idade': '20', 'sexo': 'f', 'e-mail': 'geshicka@hotmail.com', 'telefone': '011946286813'}
{'codigo': '270', 'nome': 'Germana', 'idade': '33', 'sexo': 'f', 'e-mail': 'lovecristina_22@hotmail.com', 'telefone': '041977435871'}
{'codigo': '271', 'nome': 'Antero', 'idade': '26', 'sexo': 'f', 'e-mail': 'alan_schmeiske@hotmail.com', 'telefone': '012986270943'}
{'codigo': '273', 'nome': 'Amin', 'idade': '21', 'sexo': 'f', 'e-mail': 'felippesantuzzi@gmail.com', 'telefone': '049919743782'}
{'codigo': '274', 'nome': 'Benito', 'idade': '21', 'sexo': 'f', 'e-mail': 'camposgontijo@yahoo.com.br', 'telefone': '027908842919'}
{'codigo': '277', 'nome': 'Brás', 'idade': '39', 'sexo': 'f', 'e-mail': 'walison_so_pras_mina@yahoo.com.br', 'telefone': '036938675214'}
{'codigo': '278', 'nome': 'Melayne', 'idade': '43', 'sexo': 'f', 'e-mail': 'anjonegroo@yahoo.com.br', 'telefone': '054955925120'}
{'codigo': '280', 'nome': 'Dolores', 'idade': '43', 'sexo': 'f', 'e-mail': 'kakau.teixeira@gmail.com', 'telefone': '035981387559'}
{'codigo': '281', 'nome': 'Helen', 'idade': '20', 'sexo': 'f', 'e-mail': 'madruga_br_rj@hotmail.com', 'telefone': '013941459391'}
{'codigo': '282', 'nome': 'Cristiane', 'idade': '48', 'sexo': 'f', 'e-mail': 'geomarpivetta@HOTMAIL.COM', 'telefone': '053988979721'}
{'codigo': '285', 'nome': 'Plinio', 'idade': '32', 'sexo': 'f', 'e-mail': 'betinhocomelli45@hotmail.com', 'telefone': '047907334941'}
{'codigo': '286', 'nome': 'Maricy', 'idade': '48', 'sexo': 'f', 'e-mail': 'morenah@bol.com.br', 'telefone': '012959151606'}
{'codigo': '289', 'nome': 'Carlota', 'idade': '37', 'sexo': 'f', 'e-mail': 'mary_santana.eu@hotmail.com', 'telefone': '042993159084'}
{'codigo': '291', 'nome': 'Camilo', 'idade': '41', 'sexo': 'f', 'e-mail': 'joao_surfer94@hotmail.com', 'telefone': '023920954169'}
{'codigo': '293', 'nome': 'Baldoc', 'idade': '50', 'sexo': 'f', 'e-mail': 'lolorraine_2006@yahoo.com.br', 'telefone': '040919558865'}
{'codigo': '294', 'nome': 'Lucio', 'idade': '34', 'sexo': 'f', 'e-mail': 'yara_sanka@hotmail.com', 'telefone': '043949480473'}
{'codigo': '296', 'nome': 'Priscila', 'idade': '37', 'sexo': 'f', 'e-mail': 'paulagt_aninha@hotmail.com', 'telefone': '022966457180'}
{'codigo': '300', 'nome': 'Liége', 'idade': '27', 'sexo': 'f', 'e-mail': 'aline.moretti.sanches@gmail.com', 'telefone': '022916682770'}
{'codigo': '302', 'nome': 'Weblen', 'idade': '16', 'sexo': 'f', 'e-mail': 'danadinho_safadinho@hotmail.com', 'telefone': '053990021396'}
{'codigo': '304', 'nome': 'Téri', 'idade': '31', 'sexo': 'f', 'e-mail': 'katielle_po@yahoo.com.br', 'telefone': '013966273211'}
{'codigo': '305', 'nome': 'Telcilene', 'idade': '28', 'sexo': 'f', 'e-mail': 'robsonmendes100@yahoo.com.br', 'telefone': '027933035247'}
{'codigo': '306', 'nome': 'Andressa', 'idade': '26', 'sexo': 'f', 'e-mail': 'fe_manchaverde@hotmail.com.br', 'telefone': '011996542639'}
{'codigo': '309', 'nome': 'Anthony', 'idade': '26', 'sexo': 'f', 'e-mail': 'cherryjenn@gmail.com', 'telefone': '029989292429'}
{'codigo': '312', 'nome': 'Theo', 'idade': '18', 'sexo': 'f', 'e-mail': 'maxsonhsbc@yahoo.com.br', 'telefone': '045952966734'}
{'codigo': '313', 'nome': 'Selma', 'idade': '48', 'sexo': 'f', 'e-mail': 'wil_yuri@hotmail.com', 'telefone': '050939788426'}
{'codigo': '314', 'nome': 'Enio', 'idade': '16', 'sexo': 'f', 'e-mail': 'suzi_px@yahoo.com.br', 'telefone': '021954196851'}
{'codigo': '316', 'nome': 'Natália', 'idade': '34', 'sexo': 'f', 'e-mail': 'lclopesvip39.18596@yahoo.com', 'telefone': '057924003567'}
{'codigo': '317', 'nome': 'Jesus', 'idade': '18', 'sexo': 'f', 'e-mail': 'luckinha_g@hotmail.com', 'telefone': '053915376202'}
{'codigo': '318', 'nome': 'Emilia', 'idade': '23', 'sexo': 'f', 'e-mail': 'missin_171@yahoo.com.br', 'telefone': '027991087361'}
{'codigo': '319', 'nome': 'Casimiro', 'idade': '20', 'sexo': 'f', 'e-mail': 'souza261@itelefonica.com.br', 'telefone': '016967635671'}
{'codigo': '320', 'nome': 'Tania', 'idade': '31', 'sexo': 'f', 'e-mail': 'dani_sk8_95@hotmail.com', 'telefone': '017900742105'}
{'codigo': '322', 'nome': 'Nilva', 'idade': '19', 'sexo': 'f', 'e-mail': 'humberto_santtos@hotmal.com', 'telefone': '044917564262'}
{'codigo': '324', 'nome': 'Ana', 'idade': '46', 'sexo': 'f', 'e-mail': 'dannihellokit@hotmail.com', 'telefone': '038927882984'}
{'codigo': '327', 'nome': 'Silas', 'idade': '40', 'sexo': 'f', 'e-mail': 'tiago_k12@hotmail.com', 'telefone': '057941436356'}
{'codigo': '330', 'nome': 'Firmo', 'idade': '46', 'sexo': 'f', 'e-mail': 'eusoutiago@hotmail.com', 'telefone': '036997955773'}
{'codigo': '332', 'nome': 'Vivian', 'idade': '21', 'sexo': 'f', 'e-mail': 'fabiano_atitude@hotmail.com', 'telefone': '058941023518'}
{'codigo': '333', 'nome': 'Hanna', 'idade': '24', 'sexo': 'f', 'e-mail': 'bairrosdeguarulhos@gmail.com', 'telefone': '049934722855'}
{'codigo': '335', 'nome': 'Mantovaine', 'idade': '50', 'sexo': 'f', 'e-mail': 'dyegocaje@gmail.com', 'telefone': '029982659031'}
{'codigo': '336', 'nome': 'Lauanda', 'idade': '47', 'sexo': 'f', 'e-mail': 'kito.po@pop.com.br', 'telefone': '024986324038'}
{'codigo': '338', 'nome': 'Olga', 'idade': '35', 'sexo': 'f', 'e-mail': 'elysmrb@gmail.com', 'telefone': '032972523594'}
{'codigo': '339', 'nome': 'Amâncio', 'idade': '34', 'sexo': 'f', 'e-mail': 'r10_areas@zipmail.com', 'telefone': '058999501252'}
{'codigo': '340', 'nome': 'Christian', 'idade': '47', 'sexo': 'f', 'e-mail': 'taty_de_gomes@hotmail.com', 'telefone': '027914549590'}
{'codigo': '343', 'nome': 'Felicio', 'idade': '29', 'sexo': 'f', 'e-mail': 'tiago_vilamenckenois@yahoo.com.br', 'telefone': '021956399468'}
{'codigo': '344', 'nome': 'Adélia Silva', 'idade': '42', 'sexo': 'f', 'e-mail': 'naiaraebide@hotmail.com', 'telefone': '052976403488'}
{'codigo': '345', 'nome': 'Wanda', 'idade': '46', 'sexo': 'f', 'e-mail': 'gatinha_157_original_@hotmail.com', 'telefone': '052958333698'}
{'codigo': '347', 'nome': 'Constance', 'idade': '49', 'sexo': 'f', 'e-mail': 'eavestruzjr@hotmail.com', 'telefone': '040998231366'}
