{'codigo': '2', 'nome': 'Jorge', 'idade': '30', 'sexo': 'm', 'e-mail': 'dimmu.dayan@gmail.com', 'telefone': '048984594785'}
{'codigo': '66', 'nome': 'Jeremias', 'idade': '20', 'sexo': 'm', 'e-mail': 'negaunzinhoow@hotmail.com', 'telefone': '019998951468'}
{'codigo': '71', 'nome': 'Eloy', 'idade': '17', 'sexo': 'm', 'e-mail': 'edsoncoutodasilva@yahoo.com.br', 'telefone': '054913620129'}
{'codigo': '75', 'nome': 'Sócrates', 'idade': '46', 'sexo': 'm', 'e-mail': 'batmanbegins321@yahoo.com.br', 'telefone': '043953607460'}
{'codigo': '78', 'nome': 'Irineu', 'idade': '23', 'sexo': 'm', 'e-mail': 'lu_manjos@yahoo.com.br', 'telefone': '045971372814'}
{'codigo': '79', 'nome': 'Isis', 'idade': '46', 'sexo': 'm', 'e-mail': 'janarocks@bol.com.br', 'telefone': '041931299567'}
{'codigo': '80', 'nome': 'Cassiane', 'idade': '49', 'sexo': 'm', 'e-mail': 'stephanieguerra@bol.com.br', 'telefone': '024928148439'}
{'codigo': '84', 'nome': 'Getúlio', 'idade': '35', 'sexo': 'm', 'e-mail': 'FO_FA_KAKA92@YAHOO.COM.BR', 'telefone': '034973417954'}
{'codigo': '86', 'nome': 'Ione', 'idade': '38', 'sexo': 'm', 'e-mail': 'thainasantos_2@hotmail.com', 'telefone': '057985079072'}
{'codigo': '88', 'nome': 'Gilberto', 'idade': '34', 'sexo': 'm', 'e-mail': 'fractata@hotmail.com', 'telefone': '055969579247'}
{'codigo': '90', 'nome': 'Alcina Dias', 'idade': '39', 'sexo': 'm', 'e-mail': 'daphne_lp4ever@yahoo.com.br', 'telefone': '052910130481'}
{'codigo': '91', 'nome': 'L�\xadvia', 'idade': '23', 'sexo': 'm', 'e-mail': 'sk8terpark@yahoo.com.br', 'telefone': '046906028700'}
{'codigo': '94', 'nome': 'Nair', 'idade': '23', 'sexo': 'm', 'e-mail': 'alineoliveiraes@gmail.com', 'telefone': '012945607392'}
{'codigo': '95', 'nome': 'Ivonete', 'idade': '19', 'sexo': 'm', 'e-mail': 'chirley.aparecida@yahoo.com.br', 'telefone': '023961368824'}
{'codigo': '100', 'nome': 'Zenaide', 'idade': '35', 'sexo': 'm', 'e-mail': 'leticiaorkut321@hotmail.com', 'telefone': '017979866095'}
{'codigo': '102', 'nome': 'Henri', 'idade': '36', 'sexo': 'm', 'e-mail': 'carolinehh_@hotmail.com', 'telefone': '047908746143'}
{'codigo': '103', 'nome': 'Laerte', 'idade': '50', 'sexo': 'm', 'e-mail': 'kmiryanca15@hotmail.com', 'telefone': '049944360310'}
{'codigo': '104', 'nome': 'Aluisio', 'idade': '44', 'sexo': 'm', 'e-mail': 'lindelaine_perigosa@hotmail.com', 'telefone': '042919423639'}
{'codigo': '106', 'nome': 'Ivan', 'idade': '34', 'sexo': 'm', 'e-mail': 'wtsalehouse@yahoo.com.br', 'telefone': '053949164004'}
{'codigo': '109', 'nome': 'Gudrun', 'idade': '27', 'sexo': 'm', 'e-mail': 'tatiz137@hotmail.com', 'telefone': '021900964019'}
{'codigo': '111', 'nome': 'Cassandra', 'idade': '22', 'sexo': 'm', 'e-mail': 'prilyndinha15@yahoo.com.br', 'telefone': '048948166370'}
{'codigo': '112', 'nome': 'Johnny', 'idade': '39', 'sexo': 'm', 'e-mail': 'agloco.com.fake@gmail.com', 'telefone': '029977027156'}
{'codigo': '113', 'nome': 'Oton', 'idade': '23', 'sexo': 'm', 'e-mail': 'iwishyou_now@hotmail.com', 'telefone': '057995033822'}
{'codigo': '118', 'nome': 'Billy', 'idade': '47', 'sexo': 'm', 'e-mail': 'avlannandes@hotmail.com', 'telefone': '035918936595'}
{'codigo': '120', 'nome': 'Dinah', 'idade': '25', 'sexo': 'm', 'e-mail': 'zelooko@yahoo.com.br', 'telefone': '047965261372'}
{'codigo': '121', 'nome': 'Moacir', 'idade': '44', 'sexo': 'm', 'e-mail': 'aiopam@hotmail.com', 'telefone': '051927187383'}
{'codigo': '122', 'nome': 'Arthur', 'idade': '47', 'sexo': 'm', 'e-mail': 'lowriene@hotmail.com', 'telefone': '047944239425'}
{'codigo': '124', 'nome': 'Josie', 'idade': '23', 'sexo': 'm', 'e-mail': 'linigalindo@yahoo.com.br', 'telefone': '012902183647'}
{'codigo': '126', 'nome': 'Valeska', 'idade': '22', 'sexo': 'm', 'e-mail': 'leaminaresponsa@yahoo.com.br', 'telefone': '030922555304'}
{'codigo': '127', 'nome': 'Aira Santos', 'idade': '20', 'sexo': 'm', 'e-mail': 'jakenetflash@hotmail.com', 'telefone': '056999689415'}
{'codigo': '128', 'nome': 'Iris', 'idade': '24', 'sexo': 'm', 'e-mail': 'eu@eu.org', 'telefone': '020914257381'}
{'codigo': '129', 'nome': 'Tunia Tadeu', 'idade': '48', 'sexo': 'm', 'e-mail': 'perfectpersonal@gmail.com', 'telefone': '051987675298'}
{'codigo': '130', 'nome': 'Nicolas', 'idade': '22', 'sexo': 'm', 'e-mail': 'aurezitablackwithe@hotmail.com', 'telefone': '053962854130'}
{'codigo': '131', 'nome': 'Jairo', 'idade': '16', 'sexo': 'm', 'e-mail': 'luciannicolodi@yahoo.com.br', 'telefone': '038900416498'}
{'codigo': '132', 'nome': 'Silvana', 'idade': '25', 'sexo': 'm', 'e-mail': 'samarafeliciano@yahoo.com.br', 'telefone': '034946751653'}
{'codigo': '135', 'nome': 'Vanusa', 'idade': '30', 'sexo': 'm', 'e-mail': 'fake.pervertidaa@hotmail.com', 'telefone': '058913179200'}
{'codigo': '140', 'nome': 'Kennedy', 'idade': '33', 'sexo': 'm', 'e-mail': 'marquinhopo@yahoo.com.br', 'telefone': '012938037104'}
{'codigo': '142', 'nome': 'Mayã', 'idade': '28', 'sexo': 'm', 'e-mail': 'carolzinha_meninalinda@yahoo.com.br', 'telefone': '040978315344'}
{'codigo': '143', 'nome': 'Edmagna', 'idade': '24', 'sexo': 'm', 'e-mail': 'falasilva18@yahoo.com.br', 'telefone': '052923210937'}
{'codigo': '145', 'nome': 'Fabiana', 'idade': '18', 'sexo': 'm', 'e-mail': 'olinadcs@yahoo.com.br', 'telefone': '042990696421'}
{'codigo': '146', 'nome': 'Silvano', 'idade': '32', 'sexo': 'm', 'e-mail': 'evandrosl2006@hotmail.com', 'telefone': '041917096924'}
{'codigo': '147', 'nome': 'Naylla', 'idade': '43', 'sexo': 'm', 'e-mail': 'lobiscoito@yahoo.com.br', 'telefone': '048939395120'}
{'codigo': '148', 'nome': 'Ilana', 'idade': '21', 'sexo': 'm', 'e-mail': 'naitebaladas@hotmail.com', 'telefone': '050931270605'}
{'codigo': '149', 'nome': 'Marcela', 'idade': '28', 'sexo': 'm', 'e-mail': 'umdiamagerrima@yahoo.com.br', 'telefone': '053991774290'}
{'codigo': '150', 'nome': 'Evandro', 'idade': '44', 'sexo': 'm', 'e-mail': 'trincacv@bol.com', 'telefone': '024938361320'}
{'codigo': '151', 'nome': 'Graziela', 'idade': '25', 'sexo': 'm', 'e-mail': 'diogo1572006@gmail.com', 'telefone': '011922273574'}
{'codigo': '152', 'nome': 'Jasmim', 'idade': '35', 'sexo': 'm', 'e-mail': 'benzmodtatoo2@gmail.com', 'telefone': '028955927008'}
{'codigo': '153', 'nome': 'Alfeu', 'idade': '32', 'sexo': 'm', 'e-mail': 'brunopopvip@yahoo.com.br', 'telefone': '020903891249'}
{'codigo': '156', 'nome': 'Else', 'idade': '44', 'sexo': 'm', 'e-mail': 'ketlim@bol.com.br', 'telefone': '013930773792'}
{'codigo': '157', 'nome': 'Amir', 'idade': '27', 'sexo': 'm', 'e-mail': 'showshow2222@hotmail.com', 'telefone': '038925506574'}
{'codigo': '158', 'nome': 'Eunice', 'idade': '23', 'sexo': 'm', 'e-mail': 'gatinhasdemirante@yahoo.com.br', 'telefone': '050990784981'}
{'codigo': '159', 'nome': 'Cleonice', 'idade': '42', 'sexo': 'm', 'e-mail': 'mafrenb@hotmail.com', 'telefone': '049933227172'}
{'codigo': '160', 'nome': 'Corina', 'idade': '18', 'sexo': 'm', 'e-mail': 'viip01@yahoo.com.br', 'telefone': '051963244816'}
{'codigo': '161', 'nome': 'Aristoteles', 'idade': '39', 'sexo': 'm', 'e-mail': 'guienf2003@yahoo.com.br', 'telefone': '058957435370'}
{'codigo': '165', 'nome': 'Arlette', 'idade': '50', 'sexo': 'm', 'e-mail': 'spycertain@gmail.com', 'telefone': '014960890970'}
{'codigo': '166', 'nome': 'Odir', 'idade': '44', 'sexo': 'm', 'e-mail': 'odilonpizero@gmail.com', 'telefone': '045993458954'}
{'codigo': '170', 'nome': 'Lilian', 'idade': '41', 'sexo': 'm', 'e-mail': 'mancha_100_@hotmail.com', 'telefone': '023962822207'}
{'codigo': '171', 'nome': 'Malka', 'idade': '24', 'sexo': 'm', 'e-mail': 'graseffe.goncalves@bol.com.br', 'telefone': '055996900194'}
{'codigo': '172', 'nome': 'Wald', 'idade': '34', 'sexo': 'm', 'e-mail': 'caiobode@yahoo.com.br', 'telefone': '029971488569'}
{'codigo': '175', 'nome': 'Giuliana', 'idade': '40', 'sexo': 'm', 'e-mail': 'graff_82@hotmail.com', 'telefone': '041976165758'}
{'codigo': '176', 'nome': 'Delia', 'idade': '32', 'sexo': 'm', 'e-mail': 'thata_a_loirinha@hotmail.com', 'telefone': '055960949841'}
{'codigo': '177', 'nome': 'Ol�\xadmpia', 'idade': '21', 'sexo': 'm', 'e-mail': 'anaselenem@yahoo.com.br', 'telefone': '026928919454'}
{'codigo': '178', 'nome': 'Frederica', 'idade': '36', 'sexo': 'm', 'e-mail': 'carlalovato1@hotmail.com', 'telefone': '014902782027'}
{'codigo': '180', 'nome': 'Roberto', 'idade': '23', 'sexo': 'm', 'e-mail': 'samara_09_1991@hotmail.com', 'telefone': '034961822187'}
{'codigo': '181', 'nome': 'Cassia', 'idade': '31', 'sexo': 'm', 'e-mail': 'daniela_00.delgado@yahoo.com.br', 'telefone': '019901012933'}
{'codigo': '183', 'nome': 'Peter', 'idade': '44', 'sexo': 'm', 'e-mail': 'suelirestani@yahoo.com.br', 'telefone': '026965038608'}
{'codigo': '184', 'nome': 'Arissa', 'idade': '23', 'sexo': 'm', 'e-mail': 'e_liv_elton@yahoo.com.br', 'telefone': '038966261302'}
{'codigo': '185', 'nome': 'Teresa', 'idade': '41', 'sexo': 'm', 'e-mail': 'jonisk7@hotmail.com', 'telefone': '044967499666'}
{'codigo': '190', 'nome': 'Ivani', 'idade': '32', 'sexo': 'm', 'e-mail': 'michele_fontinele@hotmail.com', 'telefone': '038941442258'}
{'codigo': '191', 'nome': 'Joelle', 'idade': '17', 'sexo': 'm', 'e-mail': 'tata_florzinha@yahoo.com.br', 'telefone': '013919518047'}
{'codigo': '192', 'nome': 'Caim', 'idade': '42', 'sexo': 'm', 'e-mail': 'juliapereira1981@hotmail.com', 'telefone': '043982232380'}
{'codigo': '193', 'nome': 'Elisiana', 'idade': '16', 'sexo': 'm', 'e-mail': 'agente_fbi13@yahoo.com.br', 'telefone': '041982570824'}
{'codigo': '194', 'nome': 'Gorete', 'idade': '35', 'sexo': 'm', 'e-mail': 'pereira_col_bebs@msn.com', 'telefone': '013999531155'}
{'codigo': '196', 'nome': 'Soraia', 'idade': '27', 'sexo': 'm', 'e-mail': 'bruno_mapcr@hotmail.com', 'telefone': '045905498942'}
{'codigo': '197', 'nome': 'Pietra', 'idade': '20', 'sexo': 'm', 'e-mail': 'meleka10@bol.com.br', 'telefone': '029952983805'}
{'codigo': '206', 'nome': 'Sandra', 'idade': '23', 'sexo': 'm', 'e-mail': 'juninhous@bol.com.br', 'telefone': '043981826378'}
{'codigo': '207', 'nome': 'Carla', 'idade': '36', 'sexo': 'm', 'e-mail': 'samydulu@yahoo.com.br', 'telefone': '017935531150'}
{'codigo': '210', 'nome': 'Josué', 'idade': '34', 'sexo': 'm', 'e-mail': 'priteod@gmail.com', 'telefone': '044946486402'}
{'codigo': '213', 'nome': 'Eder', 'idade': '16', 'sexo': 'm', 'e-mail': 'limanetshow@hotmail.com', 'telefone': '055966547055'}
{'codigo': '214', 'nome': 'Maristela', 'idade': '19', 'sexo': 'm', 'e-mail': 'carol_gommes2000@hotmail.com', 'telefone': '030919516464'}
{'codigo': '216', 'nome': 'Martin', 'idade': '36', 'sexo': 'm', 'e-mail': 'zanguief_tora@yahoo.com.br', 'telefone': '030939110308'}
{'codigo': '224', 'nome': 'Fabian', 'idade': '46', 'sexo': 'm', 'e-mail': 'cajrepre1@hotmail.com', 'telefone': '020988791690'}
{'codigo': '226', 'nome': 'Kelly', 'idade': '29', 'sexo': 'm', 'e-mail': 'joselita_m.vieira@hotmail.com', 'telefone': '012952165019'}
{'codigo': '227', 'nome': 'Jacilei', 'idade': '47', 'sexo': 'm', 'e-mail': 'blue_dolphin_2005@hotmail.com', 'telefone': '052987021246'}
{'codigo': '230', 'nome': 'Dilson', 'idade': '36', 'sexo': 'm', 'e-mail': 'fernanda_bastos86@hotmail.com', 'telefone': '028923538602'}
{'codigo': '232', 'nome': 'Aelington', 'idade': '32', 'sexo': 'm', 'e-mail': 'desley_580@hotmail.com', 'telefone': '011904137545'}
{'codigo': '233', 'nome': 'Georgia', 'idade': '36', 'sexo': 'm', 'e-mail': 'netoorkut@hotmail.com', 'telefone': '015940404028'}
{'codigo': '235', 'nome': 'Jonas', 'idade': '36', 'sexo': 'm', 'e-mail': 'keila_bunita@yahoo.com.br', 'telefone': '047916293047'}
{'codigo': '236', 'nome': 'Raquel', 'idade': '22', 'sexo': 'm', 'e-mail': 'chel_bdl@hotmail.com', 'telefone': '016928488494'}
{'codigo': '237', 'nome': 'Gerd', 'idade': '32', 'sexo': 'm', 'e-mail': 'rafaellinha_R_@hotmail.com', 'telefone': '015960772465'}
{'codigo': '239', 'nome': 'Jonathan', 'idade': '21', 'sexo': 'm', 'e-mail': 'helliana_almeida@hotmail.com', 'telefone': '041969174477'}
{'codigo': '241', 'nome': 'Anita', 'idade': '38', 'sexo': 'm', 'e-mail': 'carlosival@walla.com', 'telefone': '019944725062'}
{'codigo': '243', 'nome': 'Romulo', 'idade': '46', 'sexo': 'm', 'e-mail': 'girl_top_2007@yahoo.com.br', 'telefone': '036984437743'}
{'codigo': '244', 'nome': 'Marli', 'idade': '43', 'sexo': 'm', 'e-mail': 'flavin.glamurosa@hotmail.com', 'telefone': '035947799315'}
{'codigo': '246', 'nome': 'Elaine', 'idade': '25', 'sexo': 'm', 'e-mail': 'ferr.nanda@yahoo.com.br', 'telefone': '037906459769'}
{'codigo': '249', 'nome': 'Adib', 'idade': '45', 'sexo': 'm', 'e-mail': 'portobrow@hotmail.com', 'telefone': '047912801643'}
{'codigo': '251', 'nome': 'Ivna', 'idade': '48', 'sexo': 'm', 'e-mail': 'axadosgovaladares@gmail.com', 'telefone': '041920415349'}
{'codigo': '254', 'nome': 'Chaylla', 'idade': '31', 'sexo': 'm', 'e-mail': 'raimundo.1000@hotmail.com', 'telefone': '054973455238'}
{'codigo': '262', 'nome': 'Ronaldo', 'idade': '43', 'sexo': 'm', 'e-mail': 'danibraga_porto@yahoo.com.br', 'telefone': '027913484032'}
{'codigo': '267', 'nome': 'Julia', 'idade': '24', 'sexo': 'm', 'e-mail': 'badu_enos@hotmail.com', 'telefone': '057984343373'}
{'codigo': '268', 'nome': 'Igino', 'idade': '28', 'sexo': 'm', 'e-mail': 'xdany_nick@hotmail.com', 'telefone': '041982146782'}
{'codigo': '269', 'nome': 'Jordana', 'idade': '32', 'sexo': 'm', 'e-mail': 'glaucia_piae@yahoo.com.br', 'telefone': '030900265406'}
{'codigo': '272', 'nome': 'Dario', 'idade': '20', 'sexo': 'm', 'e-mail': 'marcel_mancha@yahoo.com.br', 'telefone': '042919079090'}
{'codigo': '275', 'nome': 'Acácia Silva', 'idade': '33', 'sexo': 'm', 'e-mail': 'deyaah_queiros@yahoo.com.br', 'telefone': '031935304706'}
{'codigo': '276', 'nome': 'Samia', 'idade': '22', 'sexo': 'm', 'e-mail': 'yasminjf@gmail.com', 'telefone': '015943014397'}
{'codigo': '279', 'nome': 'Amanda', 'idade': '20', 'sexo': 'm', 'e-mail': 'july_msilva_@hotmail.com', 'telefone': '033991878590'}
{'codigo': '283', 'nome': 'Aura', 'idade': '37', 'sexo': 'm', 'e-mail': 'rickinhu_pb@hotmail.com', 'telefone': '016950790209'}
{'codigo': '284', 'nome': 'Jefferson', 'idade': '19', 'sexo': 'm', 'e-mail': 'marcialasturbinada1@hotmail.com', 'telefone': '058990642921'}
{'codigo': '287', 'nome': 'Altamir', 'idade': '35', 'sexo': 'm', 'e-mail': 's_ivan@itelefonica.com.br', 'telefone': '049973861280'}
{'codigo': '288', 'nome': 'Alena', 'idade': '21', 'sexo': 'm', 'e-mail': 'fito_dacosta@hotmail.com', 'telefone': '017972352523'}
{'codigo': '290', 'nome': 'Fúlvia', 'idade': '49', 'sexo': 'm', 'e-mail': 'lenorfis@brturbo.com.br', 'telefone': '051998634202'}
{'codigo': '292', 'nome': 'Ricardo', 'idade': '23', 'sexo': 'm', 'e-mail': 'anyyzuda@hotmail.com', 'telefone': '033905230091'}
{'codigo': '295', 'nome': 'Procopio Quenia', 'idade': '41', 'sexo': 'm', 'e-mail': 'sirigaitasilva@yahoo.com.br', 'telefone': '016953230926'}
{'codigo': '297', 'nome': 'Doris', 'idade': '47', 'sexo': 'm', 'e-mail': 'hipolito-ipa@bol.com.br', 'telefone': '027968508144'}
{'codigo': '298', 'nome': 'Cléo', 'idade': '31', 'sexo': 'm', 'e-mail': 'leandrolamparg@hotmail.com', 'telefone': '030913074860'}
{'codigo': '299', 'nome': 'Daisy', 'idade': '32', 'sexo': 'm', 'e-mail': 'joao.paulolara@gmail.com', 'telefone': '025918251922'}
{'codigo': '301', 'nome': 'Aline', 'idade': '20', 'sexo': 'm', 'e-mail': 'erick.andre@hotmail.com', 'telefone': '025938924972'}
{'codigo': '303', 'nome': 'Max', 'idade': '37', 'sexo': 'm', 'e-mail': 'saitseya.junior@gmail.com', 'telefone': '048983772837'}
{'codigo': '307', 'nome': 'Talita', 'idade': '41', 'sexo': 'm', 'e-mail': 'camila_morena12@hotmail.com', 'telefone': '058996841189'}
{'codigo': '308', 'nome': 'Pierluigi', 'idade': '35', 'sexo': 'm', 'e-mail': 'mai_aloucaenergetica@hotmail.com', 'telefone': '030963085294'}
{'codigo': '310', 'nome': 'Otelo', 'idade': '24', 'sexo': 'm', 'e-mail': 'marciacarpinettiborges@yahoo.com.br', 'telefone': '011957924455'}
{'codigo': '311', 'nome': 'Paola', 'idade': '34', 'sexo': 'm', 'e-mail': 'andre.rodolfo@ig.com.br', 'telefone': '057936440750'}
{'codigo': '315', 'nome': 'Giselda', 'idade': '36', 'sexo': 'm', 'e-mail': 'edujuninho7@gmail.com', 'telefone': '025970297485'}
{'codigo': '321', 'nome': 'Marjorie', 'idade': '47', 'sexo': 'm', 'e-mail': 'leisilva@oi.com.br', 'telefone': '030949195824'}
{'codigo': '323', 'nome': 'Eneida', 'idade': '43', 'sexo': 'm', 'e-mail': 'luizarodriguesp@hotmail.com', 'telefone': '021919968605'}
{'codigo': '325', 'nome': 'Eivaldo', 'idade': '41', 'sexo': 'm', 'e-mail': 'guuhflood@gmail.com', 'telefone': '011931427418'}
{'codigo': '326', 'nome': 'Mariano', 'idade': '34', 'sexo': 'm', 'e-mail': 'dory_aminadohiphop@yahoo.com.br', 'telefone': '054947365974'}
{'codigo': '328', 'nome': 'Edilson', 'idade': '20', 'sexo': 'm', 'e-mail': 'amandashirmay@hotmail.com', 'telefone': '027974622353'}
{'codigo': '329', 'nome': 'Chris', 'idade': '25', 'sexo': 'm', 'e-mail': 'kiumildes@hotmail.com', 'telefone': '042993138717'}
{'codigo': '331', 'nome': 'Laercio', 'idade': '46', 'sexo': 'm', 'e-mail': 'gleidsonjanu@gmail.com', 'telefone': '041948722934'}
{'codigo': '334', 'nome': 'Roseane', 'idade': '20', 'sexo': 'm', 'e-mail': 'funkapper_xp@yahoo.com.br', 'telefone': '018929034599'}
{'codigo': '337', 'nome': 'Helga', 'idade': '30', 'sexo': 'm', 'e-mail': 'babyblue_jeh@yahoo.com.br', 'telefone': '026974932116'}
{'codigo': '341', 'nome': 'Helena', 'idade': '31', 'sexo': 'm', 'e-mail': 'aline_gatinha_13@yahoo.com.br', 'telefone': '025970525891'}
{'codigo': '342', 'nome': 'Helder', 'idade': '36', 'sexo': 'm', 'e-mail': 'alahfilho@gmail.com', 'telefone': '050942779352'}
{'codigo': '346', 'nome': 'Odete', 'idade': '28', 'sexo': 'm', 'e-mail': 'jonylokao@globo.com', 'telefone': '017923854287'}
{'codigo': '348', 'nome': 'Kate', 'idade': '21', 'sexo': 'm', 'e-mail': 'brunohelenonascimento@yahoo.com.br', 'telefone': '032985491328'}
{'codigo': '350', 'nome': 'Amon', 'idade': '31', 'sexo': 'm', 'e-mail': 'TiagocTeles@gmail.com', 'telefone': '030980230326'}
{'codigo': '354', 'nome': 'Conceição', 'idade': '47', 'sexo': 'm', 'e-mail': 'robertarosarj@gmail.com', 'telefone': '020907652702'}
{'codigo': '355', 'nome': 'Françoise', 'idade': '18', 'sexo': 'm', 'e-mail': 'caanelinha_@hotmail.com', 'telefone': '028964543523'}
{'codigo': '362', 'nome': 'Laysa', 'idade': '44', 'sexo': 'm', 'e-mail': 'mirienesouza@yahoo.com.br', 'telefone': '020902641479'}
{'codigo': '363', 'nome': 'Neuza', 'idade': '25', 'sexo': 'm', 'e-mail': 'rdgltc@hotmail.com', 'telefone': '035981783941'}
{'codigo': '366', 'nome': 'Virginia', 'idade': '49', 'sexo': 'm', 'e-mail': 'inasistencias233@yahoo.com.br', 'telefone': '029972659955'}
{'codigo': '367', 'nome': 'Ot�\xadlia Odair', 'idade': '42', 'sexo': 'm', 'e-mail': 'moises41@hotmail.com', 'telefone': '041985861304'}
{'codigo': '373', 'nome': 'Prudencia Pablo', 'idade': '46', 'sexo': 'm', 'e-mail': 'levi.vitor@bol.com.br', 'telefone': '050962970799'}
{'codigo': '377', 'nome': 'Deoclides', 'idade': '44', 'sexo': 'm', 'e-mail': 'espadasla@gmail.com', 'telefone': '042958028305'}
{'codigo': '380', 'nome': 'Wilson', 'idade': '28', 'sexo': 'm', 'e-mail': 'Poly.Lima.92@hotmail.com', 'telefone': '053973972876'}
{'codigo': '383', 'nome': 'Herculano', 'idade': '22', 'sexo': 'm', 'e-mail': 'brawnzinho@hotmail.com.br', 'telefone': '022925461907'}
{'codigo': '386', 'nome': 'Zilá', 'idade': '23', 'sexo': 'm', 'e-mail': 'hie.s2@hotmail.com', 'telefone': '034978405359'}
